Indicator Code: CG1610
"Indicator Name: Ill-defined diseases"
Export date: 5/7/2024 4:55:25 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: R00-R94, R96-R99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GRC,Greece,1990,All,Age_all,[All],7871.00000000,8.35988614,43.21965791,77.46666011,
EU,Europe,GRC,Greece,1991,All,Age_all,[All],7926.00000000,8.29965025,42.30776527,77.27946638,
EU,Europe,GRC,Greece,1992,All,Age_all,[All],9135.00000000,9.29950830,47.65237562,88.09210722,
EU,Europe,GRC,Greece,1993,All,Age_all,[All],8757.00000000,8.98900625,44.84186776,83.67466008,
EU,Europe,GRC,Greece,1994,All,Age_all,[All],7883.00000000,8.05975032,39.60219309,74.69891118,
EU,Europe,GRC,Greece,1995,All,Age_all,[All],8307.00000000,8.29389564,40.81213457,78.11448723,
EU,Europe,GRC,Greece,1996,All,Age_all,[All],8125.00000000,8.06531666,39.32806831,75.86970021,
EU,Europe,GRC,Greece,1997,All,Age_all,[All],8015.00000000,8.03605446,38.20081665,74.37458306,
EU,Europe,GRC,Greece,1998,All,Age_all,[All],8768.00000000,8.54014883,41.39709613,80.92360712,
EU,Europe,GRC,Greece,1999,All,Age_all,[All],8564.00000000,8.29009525,40.16195987,78.69437902,
EU,Europe,GRC,Greece,2000,All,Age_all,[All],8423.00000000,8.00893791,39.16643405,77.15166636,
EU,Europe,GRC,Greece,2001,All,Age_all,[All],7250.00000000,7.06910169,33.50363354,66.21032985,
EU,Europe,GRC,Greece,2002,All,Age_all,[All],7924.00000000,7.62546312,36.26012713,72.11792901,
EU,Europe,GRC,Greece,2003,All,Age_all,[All],8464.00000000,8.02054412,37.36719080,76.78119862,
EU,Europe,GRC,Greece,2004,All,Age_all,[All],8524.00000000,8.12258200,37.33486647,77.05843613,
EU,Europe,GRC,Greece,2005,All,Age_all,[All],8643.00000000,8.22430084,36.38014284,77.83731326,
EU,Europe,GRC,Greece,2006,All,Age_all,[All],7375.00000000,7.02595077,29.72010241,66.15220137,
EU,Europe,GRC,Greece,2007,All,Age_all,[All],8519.00000000,7.75194504,33.19470695,76.11109558,
EU,Europe,GRC,Greece,2008,All,Age_all,[All],7441.00000000,6.89115476,28.65378168,66.21834094,
EU,Europe,GRC,Greece,2009,All,Age_all,[All],8152.00000000,7.52612726,29.40685438,72.25188254,
EU,Europe,GRC,Greece,2010,All,Age_all,[All],10412.00000000,9.54493785,35.15748385,92.08001339,
EU,Europe,GRC,Greece,2011,All,Age_all,[All],12185.00000000,10.96769548,38.36544622,107.83161984,
EU,Europe,GRC,Greece,2012,All,Age_all,[All],13168.00000000,11.28672815,38.63519520,118.70781210,
EU,Europe,GRC,Greece,2013,All,Age_all,[All],10975.00000000,9.81716371,31.03652824,100.08899941,
EU,Europe,GRC,Greece,2014,All,Age_all,[All],7107.00000000,6.24846140,17.96670696,65.24751411,
EU,Europe,HUN,Hungary,1990,All,Age_all,[All],132.00000000,0.09062200,0.90666226,1.27241327,
EU,Europe,HUN,Hungary,1991,All,Age_all,[All],118.00000000,0.08148440,0.80239421,1.13752482,
EU,Europe,HUN,Hungary,1992,All,Age_all,[All],138.00000000,0.09275378,0.94451711,1.33084639,
EU,Europe,HUN,Hungary,1993,All,Age_all,[All],135.00000000,0.08985384,0.95639851,1.30340056,
EU,Europe,HUN,Hungary,1994,All,Age_all,[All],164.00000000,0.11164893,1.13301929,1.58555904,
EU,Europe,HUN,Hungary,1995,All,Age_all,[All],174.00000000,0.11964437,1.13987183,1.68458311,
EU,Europe,HUN,Hungary,1996,All,Age_all,[All],95.00000000,0.06637323,0.62065915,0.92132487,
EU,Europe,HUN,Hungary,1997,All,Age_all,[All],90.00000000,0.06454667,0.61637737,0.87459426,
EU,Europe,HUN,Hungary,1998,All,Age_all,[All],126.00000000,0.08944417,0.82960575,1.22728428,
EU,Europe,HUN,Hungary,1999,All,Age_all,[All],166.00000000,0.11591369,1.07092086,1.64886914,
EU,Europe,HUN,Hungary,2000,All,Age_all,[All],130.00000000,0.09586950,0.81556881,1.29685888,
EU,Europe,HUN,Hungary,2001,All,Age_all,[All],136.00000000,0.10288766,0.87385877,1.33495950,
EU,Europe,HUN,Hungary,2002,All,Age_all,[All],118.00000000,0.08883335,0.80368929,1.16157658,
EU,Europe,HUN,Hungary,2003,All,Age_all,[All],105.00000000,0.07730649,0.64497092,1.03657112,
EU,Europe,HUN,Hungary,2004,All,Age_all,[All],104.00000000,0.07849531,0.70209742,1.02897505,
EU,Europe,HUN,Hungary,2005,All,Age_all,[All],124.00000000,0.09135650,0.85359803,1.22929712,
EU,Europe,HUN,Hungary,2006,All,Age_all,[All],105.00000000,0.07978542,0.65306067,1.04255925,
EU,Europe,HUN,Hungary,2007,All,Age_all,[All],128.00000000,0.09628549,0.75271296,1.27289977,
EU,Europe,HUN,Hungary,2008,All,Age_all,[All],126.00000000,0.09690295,0.69608913,1.25520662,
EU,Europe,HUN,Hungary,2009,All,Age_all,[All],136.00000000,0.10428328,0.79396455,1.35692663,
EU,Europe,HUN,Hungary,2010,All,Age_all,[All],139.00000000,0.10654933,0.77452872,1.38999666,
EU,Europe,HUN,Hungary,2011,All,Age_all,[All],148.00000000,0.11491129,0.84300492,1.48419627,
EU,Europe,HUN,Hungary,2012,All,Age_all,[All],136.00000000,0.10506799,0.76167172,1.37091778,
EU,Europe,HUN,Hungary,2013,All,Age_all,[All],130.00000000,0.10254145,0.68696161,1.31404962,
EU,Europe,HUN,Hungary,2014,All,Age_all,[All],166.00000000,0.13142477,0.80880922,1.68246631,
EU,Europe,ITA,Italy,1990,All,Age_all,[All],12099.00000000,2.22527533,12.02965395,20.98287760,
EU,Europe,ITA,Italy,1991,All,Age_all,[All],12223.00000000,2.20698297,11.70899143,21.34958438,
EU,Europe,ITA,Italy,1992,All,Age_all,[All],11202.00000000,2.04905888,10.71446939,19.73123702,
EU,Europe,ITA,Italy,1993,All,Age_all,[All],11016.00000000,1.99433346,10.21146492,19.38711310,
EU,Europe,ITA,Italy,1994,All,Age_all,[All],9677.00000000,1.73945086,8.68230107,17.02426597,
EU,Europe,ITA,Italy,1995,All,Age_all,[All],8379.00000000,1.50514649,7.88762225,14.74023619,
EU,Europe,ITA,Italy,1996,All,Age_all,[All],7934.00000000,1.43064251,7.30030791,13.95744934,
EU,Europe,ITA,Italy,1997,All,Age_all,[All],7948.00000000,1.41623323,7.24707209,13.97417036,
EU,Europe,ITA,Italy,1998,All,Age_all,[All],6916.00000000,1.20439335,5.88508195,12.15372195,
EU,Europe,ITA,Italy,1999,All,Age_all,[All],7463.00000000,1.31450785,6.43642859,13.11389360,
EU,Europe,ITA,Italy,2000,All,Age_all,[All],7186.00000000,1.28293708,6.22898994,12.62395491,
