Indicator Code: CG0810
"Indicator Name: Neuropsychiatric conditions"
Export date: 5/11/2024 11:05:29 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: F01-F99, G06-G98 (minus G14), U07.0, X41, X42, X44, X45"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,DEU,Germany,1992,All,Age_all,[All],23699.00000000,2.67651334,19.02290927,29.40523237,
EU,Europe,DEU,Germany,1993,All,Age_all,[All],24161.00000000,2.69272348,19.21235184,29.76255001,
EU,Europe,DEU,Germany,1994,All,Age_all,[All],24874.00000000,2.81169849,19.23048877,30.54948294,
EU,Europe,DEU,Germany,1995,All,Age_all,[All],25761.00000000,2.91220320,19.45728654,31.54627056,
EU,Europe,DEU,Germany,1996,All,Age_all,[All],27397.00000000,3.10326978,20.12046647,33.45352686,
EU,Europe,DEU,Germany,1997,All,Age_all,[All],27276.00000000,3.17019395,19.62618863,33.24245567,
EU,Europe,DEU,Germany,1998,All,Age_all,[All],25454.00000000,2.98621979,18.40743969,31.03048922,
EU,Europe,DEU,Germany,1999,All,Age_all,[All],25070.00000000,2.96220151,17.97768061,30.54091654,
EU,Europe,DEU,Germany,2000,All,Age_all,[All],24847.00000000,2.96221851,17.78862744,30.23204932,
EU,Europe,DEU,Germany,2001,All,Age_all,[All],25058.00000000,3.02435245,17.48597492,30.43243608,
EU,Europe,DEU,Germany,2002,All,Age_all,[All],26044.00000000,3.09426556,17.67837354,31.57525573,
EU,Europe,DEU,Germany,2003,All,Age_all,[All],27255.00000000,3.19165380,18.20837012,33.02828632,
EU,Europe,DEU,Germany,2004,All,Age_all,[All],27461.00000000,3.35597864,17.87575435,33.28554660,
EU,Europe,DEU,Germany,2005,All,Age_all,[All],30150.00000000,3.63153692,18.97085429,36.56125610,
EU,Europe,DEU,Germany,2006,All,Age_all,[All],33784.00000000,4.11184150,20.03097763,41.01701908,
EU,Europe,DEU,Germany,2007,All,Age_all,[All],33989.00000000,4.10914520,19.59359964,41.31766155,
EU,Europe,DEU,Germany,2008,All,Age_all,[All],39054.00000000,4.62484561,21.57382184,47.55736304,
EU,Europe,DEU,Germany,2009,All,Age_all,[All],43684.00000000,5.11196615,23.10713597,53.35465370,
EU,Europe,DEU,Germany,2010,All,Age_all,[All],47214.00000000,5.49787603,23.91466299,57.74885087,
EU,Europe,DEU,Germany,2011,All,Age_all,[All],49970.00000000,5.86276645,24.33884463,61.10354942,
EU,Europe,DEU,Germany,2012,All,Age_all,[All],55280.00000000,6.35707731,25.65483987,67.48265255,
EU,Europe,DEU,Germany,2013,All,Age_all,[All],62027.00000000,6.93950158,28.66880822,76.91305682,
EU,Europe,DEU,Germany,2014,All,Age_all,[All],61993.00000000,7.13912266,27.84289979,76.55110672,
EU,Europe,GRC,Greece,1990,All,Age_all,[All],820.00000000,0.87093211,5.12904949,8.07046897,
EU,Europe,GRC,Greece,1991,All,Age_all,[All],1043.00000000,1.09216947,6.28797076,10.16937717,
EU,Europe,GRC,Greece,1992,All,Age_all,[All],1449.00000000,1.47509442,8.42689875,13.97323080,
EU,Europe,GRC,Greece,1993,All,Age_all,[All],1609.00000000,1.65162853,9.21018403,15.37427522,
EU,Europe,GRC,Greece,1994,All,Age_all,[All],1394.00000000,1.42525586,8.15233747,13.20947383,
EU,Europe,GRC,Greece,1995,All,Age_all,[All],1202.00000000,1.20010384,7.20622911,11.30295096,
EU,Europe,GRC,Greece,1996,All,Age_all,[All],1169.00000000,1.16041294,7.19115283,10.91589902,
EU,Europe,GRC,Greece,1997,All,Age_all,[All],1084.00000000,1.08684754,6.34853750,10.05889558,
EU,Europe,GRC,Greece,1998,All,Age_all,[All],1055.00000000,1.02758406,6.37364382,9.73704442,
EU,Europe,GRC,Greece,1999,All,Age_all,[All],1076.00000000,1.04158600,6.14661177,9.88733674,
EU,Europe,GRC,Greece,2000,All,Age_all,[All],1388.00000000,1.31976799,7.56051657,12.71358339,
EU,Europe,GRC,Greece,2001,All,Age_all,[All],1346.00000000,1.31241529,7.31484643,12.29229020,
EU,Europe,GRC,Greece,2002,All,Age_all,[All],1305.00000000,1.25583410,7.04143444,11.87706933,
EU,Europe,GRC,Greece,2003,All,Age_all,[All],1277.00000000,1.21009391,6.81640385,11.58430891,
EU,Europe,GRC,Greece,2004,All,Age_all,[All],1327.00000000,1.26450801,6.87801659,11.99630980,
EU,Europe,GRC,Greece,2005,All,Age_all,[All],1263.00000000,1.20181557,6.45352930,11.37435227,
EU,Europe,GRC,Greece,2006,All,Age_all,[All],1280.00000000,1.21941925,6.21570578,11.48133122,
EU,Europe,GRC,Greece,2007,All,Age_all,[All],1482.00000000,1.34855999,6.99611214,13.24059674,
EU,Europe,GRC,Greece,2008,All,Age_all,[All],1441.00000000,1.33451875,6.58612814,12.82362979,
EU,Europe,GRC,Greece,2009,All,Age_all,[All],1594.00000000,1.47162007,6.95806293,14.12776015,
EU,Europe,GRC,Greece,2010,All,Age_all,[All],1597.00000000,1.46400939,7.03211865,14.12329825,
EU,Europe,GRC,Greece,2011,All,Age_all,[All],1610.00000000,1.44915796,6.94419976,14.24775609,
EU,Europe,GRC,Greece,2012,All,Age_all,[All],2039.00000000,1.74769431,8.54087802,18.38132054,
EU,Europe,GRC,Greece,2013,All,Age_all,[All],1949.00000000,1.74338515,8.00570764,17.77434714,
EU,Europe,GRC,Greece,2014,All,Age_all,[All],3304.00000000,2.90487076,13.14495953,30.33316260,
EU,Europe,HUN,Hungary,1990,All,Age_all,[All],1927.00000000,1.32294384,15.32803845,18.57530585,
EU,Europe,HUN,Hungary,1991,All,Age_all,[All],1994.00000000,1.37694820,15.78777125,19.22224150,
EU,Europe,HUN,Hungary,1992,All,Age_all,[All],2302.00000000,1.54724058,17.64835700,22.20006074,
EU,Europe,HUN,Hungary,1993,All,Age_all,[All],2520.00000000,1.67727164,19.47975650,24.33014383,
